년도,10만명당CCTV수,10만명당범죄수,CCTV,강간강제추행,강도,강도절도폭력,단란유흥,단란주점,등록외국인,범죄합계,살인,살인강간,세대,유흥주점,인구합계,절도,폭력,한국인
2014,79,3017,132,226,12,4792,360,136,8031,5021,3,229,73500,224,166389,2272,2508,158358
2015,198,2860,327,211,11,4488,359,136,8754,4705,6,217,72905,223,164463,2184,2293,155708
2016,291,2735,475,238,12,4215,316,122,9017,4459,6,244,72666,194,163026,1940,2263,154009
2017,461,2476,756,253,10,3797,355,135,9340,4057,7,260,73251,220,163809,1644,2143,154469
2018,524,2256,857,236,3,3448,340,130,9809,3690,6,242,73741,210,163507,1483,1962,153697
