년도,10만명당CCTV수,10만명당범죄수,CCTV,강간강제추행,강도,강도절도폭력,단란유흥,단란주점,등록외국인,범죄합계,살인,살인강간,세대,유흥주점,인구합계,절도,폭력,한국인
2014,353,1161,1326,141,13,4210,192,111,12447,4363,12,153,159469,81,375481,1809,2388,363033
2015,383,1258,1437,173,13,4542,191,112,13069,4720,5,178,160128,79,375057,1981,2548,361988
2016,449,1287,1670,190,10,4592,190,115,14398,4787,5,195,159786,75,371859,1940,2642,357460
2017,490,1080,1806,165,3,3799,189,114,15389,3975,11,176,159908,75,367831,1547,2249,352442
2018,548,1008,2003,145,5,3533,162,91,15777,3680,2,147,161324,71,364982,1447,2081,349204
