년도,10만명당CCTV수,10만명당범죄수,CCTV,강간강제추행,강도,강도절도폭력,단란유흥,단란주점,등록외국인,범죄합계,살인,살인강간,세대,유흥주점,인구합계,절도,폭력,한국인
2014,91,1270,487,361,25,6413,328,100,18120,6781,7,368,248703,228,533809,3029,3359,515688
2015,206,1194,1096,320,12,6016,312,94,19202,6345,9,329,249467,218,531299,2706,3298,512096
2016,324,1074,1715,322,12,5350,313,94,18947,5678,6,328,251690,219,528280,2103,3235,509333
2017,460,1055,2409,379,7,5138,314,94,17783,5525,8,387,254634,220,523288,1979,3152,505505
2018,590,963,3080,352,10,4665,305,93,17892,5026,9,361,260460,212,521494,2012,2643,503601
