년도,10만명당CCTV수,10만명당범죄수,CCTV,강간강제추행,강도,강도절도폭력,단란유흥,단란주점,등록외국인,범죄합계,살인,살인강간,세대,유흥주점,인구합계,절도,폭력,한국인
2014,67,1075,343,188,24,5238,224,141,4567,5431,5,193,202308,83,505085,2352,2862,500518
2015,103,941,523,166,9,4576,233,150,4635,4745,3,169,203249,83,503785,1914,2653,499150
2016,164,902,819,156,9,4339,226,149,4514,4501,6,162,202541,77,498885,1666,2664,494371
2017,212,788,1048,230,4,3647,215,138,4422,3883,6,236,202267,77,492581,1387,2256,488158
2018,289,734,1415,188,1,3394,219,137,4413,3590,8,196,203982,82,488703,1278,2115,484289
