년도,10만명당CCTV수,10만명당범죄수,CCTV,강간강제추행,강도,강도절도폭력,단란유흥,단란주점,등록외국인,범죄합계,살인,살인강간,세대,유흥주점,인구합계,절도,폭력,한국인
2014,50,958,241,165,16,4433,80,72,9077,4606,8,173,195032,8,480663,2130,2287,471585
2015,109,878,520,150,5,3999,78,70,9895,4154,5,155,192297,8,472852,1785,2209,462957
2016,195,804,908,154,8,3586,78,70,10669,3744,4,158,189758,8,465490,1470,2108,454821
2017,260,748,1193,173,8,3254,77,69,11453,3434,7,180,187886,8,458551,1344,1902,447097
2018,407,674,1836,183,1,2852,73,65,11648,3042,7,190,186818,8,450748,1164,1687,439099
