년도,10만명당CCTV수,10만명당범죄수,CCTV,강간강제추행,강도,강도절도폭력,단란유흥,단란주점,등록외국인,범죄합계,살인,살인강간,세대,유흥주점,인구합계,절도,폭력,한국인
2014,39,1488,101,162,9,3673,144,84,18669,3842,7,169,104002,60,258180,1552,2112,239510
2015,187,1467,483,151,6,3627,137,80,19976,3781,3,154,104148,57,257670,1567,2054,237693
2016,243,1431,619,175,7,3464,128,76,19355,3645,6,181,104085,52,254564,1264,2193,235208
2017,321,1284,818,240,5,3020,131,78,18362,3265,5,245,105675,53,254232,1141,1874,235870
2018,532,1300,1348,200,7,3087,124,73,19574,3293,6,206,106846,51,253119,1168,1912,233544
