년도,10만명당CCTV수,10만명당범죄수,CCTV,강간강제추행,강도,강도절도폭력,단란유흥,단란주점,등록외국인,범죄합계,살인,살인강간,세대,유흥주점,인구합계,절도,폭력,한국인
2014,39,907,230,214,9,5067,283,169,6331,5289,8,222,230553,114,582906,2341,2717,576574
2015,70,938,417,262,13,5316,287,168,6575,5585,7,269,237488,119,595215,2096,3207,588640
2016,101,909,607,275,10,5166,282,165,6607,5450,9,284,242355,117,599344,1952,3204,592737
2017,143,846,871,316,4,4808,301,168,6518,5135,11,327,251336,133,606681,1888,2916,600163
2018,185,763,1125,269,6,4349,304,171,6675,4629,11,280,257165,133,606005,1724,2619,599329
