년도,10만명당CCTV수,10만명당범죄수,CCTV,강간강제추행,강도,강도절도폭력,단란유흥,단란주점,등록외국인,범죄합계,살인,살인강간,세대,유흥주점,인구합계,절도,폭력,한국인
2014,42,1515,107,213,7,3585,156,121,12815,3799,1,214,108907,35,250604,1560,2018,237789
2015,83,1533,209,194,14,3621,151,118,14422,3820,5,199,107995,33,249072,1557,2050,234649
2016,120,1678,298,251,9,3882,145,115,14715,4137,4,255,107063,30,246412,1489,2384,231697
2017,146,1663,358,327,5,3732,136,106,14884,4060,1,328,106975,30,243993,1346,2381,229109
2018,175,1391,431,331,3,3079,137,108,15714,3411,1,332,108691,29,245208,1096,1980,229494
