년도,10만명당CCTV수,10만명당범죄수,CCTV,강간강제추행,강도,강도절도폭력,단란유흥,단란주점,등록외국인,범죄합계,살인,살인강간,세대,유흥주점,인구합계,절도,폭력,한국인
2014,33,1171,101,141,5,3440,77,53,7537,3582,1,142,126393,24,305733,1753,1682,298195
2015,117,1099,359,126,9,3228,76,52,7974,3358,4,130,126674,24,305298,1607,1612,297324
2016,183,989,560,104,3,2918,72,49,7937,3026,4,108,127626,23,305689,1296,1619,297751
2017,478,886,1493,132,3,2634,65,42,7900,2767,1,133,131914,23,312179,1072,1559,304279
2018,565,777,1787,126,5,2329,64,41,8052,2457,2,128,136062,23,316069,999,1325,308017
