년도,10만명당CCTV수,10만명당범죄수,CCTV,강간강제추행,강도,강도절도폭력,단란유흥,단란주점,등록외국인,범죄합계,살인,살인강간,세대,유흥주점,인구합계,절도,폭력,한국인
2014,51,1658,217,250,10,6739,463,277,37696,7003,14,264,168226,186,422194,3080,3649,384497
2015,138,1633,583,295,22,6558,448,269,39556,6867,14,309,168246,179,420370,2964,3572,380814
2016,211,1532,872,356,19,5953,435,262,37358,6322,13,369,167118,173,412411,2341,3593,375052
2017,308,1483,1243,455,5,5499,427,256,33817,5969,15,470,166450,171,402471,2304,3190,368653
2018,504,1445,2036,391,8,5432,367,208,35331,5840,17,408,169835,159,403953,2292,3132,368621
