년도,10만명당CCTV수,10만명당범죄수,CCTV,강간강제추행,강도,강도절도폭력,단란유흥,단란주점,등록외국인,범죄합계,살인,살인강간,세대,유흥주점,인구합계,절도,폭력,한국인
2014,74,1534,430,512,37,8326,604,328,5359,8851,13,525,234324,276,576868,3895,4394,571509
2015,167,1480,976,449,21,8155,582,313,5325,8617,13,462,237556,269,582206,3850,4284,576881
2016,302,1415,1741,516,39,7628,556,301,5084,8149,5,521,235329,255,575597,3587,4002,570512
2017,409,1362,2318,607,20,7106,520,287,4929,7720,7,614,233311,233,566427,3130,3956,561497
2018,501,1362,2766,600,14,6903,477,266,4978,7513,10,610,229509,211,551615,3004,3885,546637
