년도,10만명당CCTV수,10만명당범죄수,CCTV,강간강제추행,강도,강도절도폭력,단란유흥,단란주점,등록외국인,범죄합계,살인,살인강간,세대,유흥주점,인구합계,절도,폭력,한국인
2014,119,918,503,203,9,3664,105,53,11382,3869,2,205,173011,52,421197,1787,1868,409815
2015,151,977,633,285,9,3784,101,50,12054,4074,5,290,171783,51,416588,1865,1910,404533
2016,214,780,887,325,7,2894,97,49,12060,3227,8,333,172205,48,413689,1226,1661,401629
2017,283,810,1165,396,7,2933,100,51,12105,3330,1,397,173117,49,410733,1226,1700,398628
2018,348,760,1420,288,7,2809,94,44,12610,3100,3,291,175255,50,407825,1151,1651,395214
