,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
4,2014,관악구,25,7,3029,3359,361,368,6413,6781,1270,515688,18120,248703,533809,487,91,100,228,328
29,2015,관악구,12,9,2706,3298,320,329,6016,6345,1194,512096,19202,249467,531299,1096,206,94,218,312
54,2016,관악구,12,6,2103,3235,322,328,5350,5678,1074,509333,18947,251690,528280,1715,324,94,219,313
79,2017,관악구,7,8,1979,3152,379,387,5138,5525,1055,505505,17783,254634,523288,2409,460,94,220,314
104,2018,관악구,10,9,2012,2643,352,361,4665,5026,963,503601,17892,260460,521494,3080,590,93,212,305
