,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
5,2014,광진구,16,8,3167,2828,249,257,6011,6268,1651,365993,13493,159134,379486,87,22,89,19,108
30,2015,광진구,14,4,3026,2625,240,244,5665,5909,1570,361718,14520,158680,376238,151,40,87,17,104
55,2016,광진구,11,4,2636,2392,279,283,5039,5322,1424,358838,14820,158497,373658,172,46,87,18,105
80,2017,광진구,13,6,2220,2146,261,267,4379,4646,1248,357477,14673,159804,372151,640,171,86,18,104
105,2018,광진구,2,7,1769,1908,229,236,3679,3915,1055,355872,14941,161755,370813,986,265,86,18,104
