,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
3,2014,강서구,9,8,2341,2717,214,222,5067,5289,907,576574,6331,230553,582906,230,39,169,114,283
28,2015,강서구,13,7,2096,3207,262,269,5316,5585,938,588640,6575,237488,595215,417,70,168,119,287
53,2016,강서구,10,9,1952,3204,275,284,5166,5450,909,592737,6607,242355,599344,607,101,165,117,282
78,2017,강서구,4,11,1888,2916,316,327,4808,5135,846,600163,6518,251336,606681,871,143,168,133,301
103,2018,강서구,6,11,1724,2619,269,280,4349,4629,763,599329,6675,257165,606005,1125,185,171,133,304
