,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
1,2014,강동구,10,5,2425,2804,148,153,5239,5392,1113,479586,4605,186239,484191,59,12,105,151,256
26,2015,강동구,6,4,2366,2712,156,160,5084,5244,1117,464743,4703,182224,469446,203,43,103,147,250
51,2016,강동구,14,4,1754,2530,160,164,4298,4462,982,449541,4450,178384,453991,397,87,81,133,214
76,2017,강동구,10,5,1645,2429,172,177,4084,4261,950,444212,4140,179095,448353,670,149,95,143,238
101,2018,강동구,7,3,1515,2224,170,173,3746,3919,899,431263,4283,177483,435546,1055,242,91,133,224
