지역번호,지역명,일시,평균일강수량(mm),최다일강수량(mm),최다강수량지점,1시간최다강수량(mm),1시간최다강수량지점
1,서울경기,2018-08-31,0.3,4.6,이천,5.3,이천,
1,서울경기,2018-08-30,8,39.5,양평,26.5,양평,
1,서울경기,2018-08-29,36.6,279.6,동두천,59.7,동두천,
1,서울경기,2018-08-28,124,168.4,이천,66.5,강화,
1,서울경기,2018-08-27,20.9,64.3,이천,20.1,수원,
1,서울경기,2018-08-26,1.5,6,이천,3,양평,
1,서울경기,2018-08-25,0,,,,,
1,서울경기,2018-08-24,8.9,36.2,이천,9.5,양평,
1,서울경기,2018-08-23,4.9,16.9,백령도,12.3,백령도,
1,서울경기,2018-08-22,0,0,인천,0,인천,
1,서울경기,2018-08-21,18.6,36.5,강화,22,강화,
1,서울경기,2018-08-20,0,46.1,백령도,15.2,백령도,
1,서울경기,2018-08-19,0,0,백령도,0,백령도,
1,서울경기,2018-08-18,0,,,,,
1,서울경기,2018-08-17,0,,,,,
1,서울경기,2018-08-16,0,0,백령도,0,백령도,
1,서울경기,2018-08-15,1,12.8,파주,12.8,파주,
1,서울경기,2018-08-14,0,,,,,
1,서울경기,2018-08-13,1.9,23.3,파주,21.6,파주,
1,서울경기,2018-08-12,2,5,서울,5,서울,
1,서울경기,2018-08-11,0,0,파주,,,
1,서울경기,2018-08-10,0,,,,,
1,서울경기,2018-08-09,1.6,26,이천,24.5,파주,
1,서울경기,2018-08-08,0,7.4,이천,7.4,이천,
1,서울경기,2018-08-07,0,0.5,양평,0.5,양평,
1,서울경기,2018-08-06,1.9,6.5,서울,4.5,서울,
1,서울경기,2018-08-05,0.5,60.1,파주,42.6,파주,
1,서울경기,2018-08-04,0,0,백령도,0,백령도,
1,서울경기,2018-08-03,0,,,,,
1,서울경기,2018-08-02,0,,,,,
1,서울경기,2018-08-01,0,,,,,
1,서울경기,2018-07-31,0,,,,,
1,서울경기,2018-07-30,0,,,,,
1,서울경기,2018-07-29,0,,,,,
1,서울경기,2018-07-28,7.6,36,동두천,34.5,동두천,
1,서울경기,2018-07-27,0,,,,,
1,서울경기,2018-07-26,0,1.2,백령도,1,백령도,
1,서울경기,2018-07-25,0,0.6,백령도,0.6,백령도,
1,서울경기,2018-07-24,0,,,,,
1,서울경기,2018-07-23,0,,,,,
1,서울경기,2018-07-22,0,,,,,
1,서울경기,2018-07-21,0,,,,,
1,서울경기,2018-07-20,0,,,,,
1,서울경기,2018-07-19,0,,,,,
1,서울경기,2018-07-18,0,,,,,
1,서울경기,2018-07-17,0,,,,,
1,서울경기,2018-07-16,0,,,,,
1,서울경기,2018-07-15,0,0,인천,0,인천,
1,서울경기,2018-07-14,0.1,0.2,강화,0.1,강화,
1,서울경기,2018-07-13,0.2,0.9,백령도,0.8,백령도,
1,서울경기,2018-07-12,0.4,1,서울,0.5,서울,강화,
1,서울경기,2018-07-11,4.2,29.9,동두천,14.6,동두천,
1,서울경기,2018-07-10,8.7,80.5,백령도,22.9,동두천,
1,서울경기,2018-07-09,23.2,69.8,백령도,22.9,동두천,
1,서울경기,2018-07-08,0,,,,,
1,서울경기,2018-07-07,0,,,,,
1,서울경기,2018-07-06,0,0,수원,0,수원,
1,서울경기,2018-07-05,0.2,61.7,이천,27.8,이천,
1,서울경기,2018-07-04,0,,,,,
1,서울경기,2018-07-03,4.7,17.7,수원,17.3,수원,
1,서울경기,2018-07-02,55.3,130.5,양평,41.5,양평,
1,서울경기,2018-07-01,72.5,105.7,수원,20.5,서울,
1,서울경기,2018-06-30,4.1,26.5,양평,23,양평,
1,서울경기,2018-06-29,2,6.5,서울,4.5,서울,
1,서울경기,2018-06-28,8.6,26.5,서울,22.5,서울,
1,서울경기,2018-06-27,0.5,1.6,동두천,0.8,동두천,
1,서울경기,2018-06-26,80.7,118.4,동두천,38,동두천,
1,서울경기,2018-06-25,0,0,백령도,0,백령도,
1,서울경기,2018-06-24,0,,,,,
1,서울경기,2018-06-23,0,,,,,
1,서울경기,2018-06-22,0,,,,,
1,서울경기,2018-06-21,0,,,,,
1,서울경기,2018-06-20,0,,,,,
1,서울경기,2018-06-19,0,,,,,
1,서울경기,2018-06-18,0,,,,,
1,서울경기,2018-06-17,0,,,,,
1,서울경기,2018-06-16,0,,,,,
1,서울경기,2018-06-15,5.3,16.5,서울,11.5,서울,
1,서울경기,2018-06-14,16.9,45.1,동두천,20,동두천,
1,서울경기,2018-06-13,0,5.6,백령도,4.4,백령도,
1,서울경기,2018-06-12,0.4,6.6,이천,5.9,이천,
1,서울경기,2018-06-11,3.7,5.2,인천,4.5,서울,
1,서울경기,2018-06-10,1.9,3.4,백령도,2.4,인천,
1,서울경기,2018-06-09,6.7,16.7,인천,14.1,인천,
1,서울경기,2018-06-08,0,0,백령도,0,백령도,
1,서울경기,2018-06-07,0,,,,,
1,서울경기,2018-06-06,0,,,,,
1,서울경기,2018-06-05,0,0,이천,0,이천,
1,서울경기,2018-06-04,0,,,,,
1,서울경기,2018-06-03,0,,,,,
1,서울경기,2018-06-02,0,,,,,
1,서울경기,2018-06-01,0,,,,,
1,서울경기,2018-05-31,0,,,,,
1,서울경기,2018-05-30,1.1,25.5,이천,20.1,이천,
1,서울경기,2018-05-29,3.7,10.9,수원,3.7,수원,
1,서울경기,2018-05-28,0,,,,,
1,서울경기,2018-05-27,0,,,,,
1,서울경기,2018-05-26,0,,,,,
1,서울경기,2018-05-25,0,,,,,
1,서울경기,2018-05-24,0,,,,,
1,서울경기,2018-05-23,5.2,7.5,이천,3.7,동두천,
1,서울경기,2018-05-22,13.3,16.2,백령도,4.6,파주,
1,서울경기,2018-05-21,0,,,,,
1,서울경기,2018-05-20,0,,,,,
1,서울경기,2018-05-19,0,,,,,
1,서울경기,2018-05-18,5.6,11.1,이천,10.4,이천,
1,서울경기,2018-05-17,62.8,98.6,동두천,24.2,수원,
1,서울경기,2018-05-16,34.2,54.9,파주,35,서울,
1,서울경기,2018-05-15,0,1.8,백령도,1.8,백령도,
1,서울경기,2018-05-14,0,0,백령도,0,백령도,
1,서울경기,2018-05-13,0.3,0.7,이천,0.8,수원,
1,서울경기,2018-05-12,26.9,36,수원,4.9,이천,
1,서울경기,2018-05-11,0,0,백령도,인천,수원,0,백령도,인천,수원,
1,서울경기,2018-05-10,0,0,백령도,0,백령도,
1,서울경기,2018-05-09,0,0.6,이천,0,동두천,
1,서울경기,2018-05-08,0,,,,,
1,서울경기,2018-05-07,0,,,,,
1,서울경기,2018-05-06,21.7,24.1,파주,5,양평,
1,서울경기,2018-05-05,0,0.2,백령도,0.2,백령도,
1,서울경기,2018-05-04,0,,,,,
1,서울경기,2018-05-03,0.3,3,양평,2.7,이천,
1,서울경기,2018-05-02,6.9,25.8,동두천,9.8,파주,
