구분	구분(2)	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014
구분	구분(2)	계	종로구	중구	용산구	성동구	광진구	동대문구	중랑구	성북구	강북구	도봉구	노원구	은평구	서대문구	마포구	양천구	강서구	구로구	금천구	영등포구	동작구	관악구	서초구	강남구	송파구	강동구
합계	합계	215,605	9,691	10,573	6,349	5,272	7,013	8,928	6,374	6,974	6,321	4,722	7,106	7,120	6,539	10,382	6,670	9,339	7,622	5,356	12,791	5,565	8,069	13,822	20,078	14,996	7,933
식품접객업	소계	151,588	8,480	8,154	4,694	3,688	5,119	5,732	4,294	5,023	4,479	2,944	4,660	5,200	5,345	8,204	4,233	6,058	5,175	3,860	9,030	4,094	5,711	8,598	15,193	8,214	5,406
식품접객업	휴게음식점	24,043	1,295	1,851	706	569	765	810	456	804	423	388	835	740	967	1,199	670	938	710	482	1,301	669	740	1,528	2,877	1,520	800
식품접객업	일반음식점	117,721	6,648	5,719	3,716	2,920	4,092	4,582	3,598	3,957	3,757	2,375	3,550	4,078	4,136	6,632	3,288	4,609	4,166	3,110	7,024	3,189	4,511	6,521	11,236	6,132	4,175
식품접객업	제과점	3,473	114	145	76	86	124	117	92	145	82	76	146	141	103	171	161	172	119	64	139	106	115	274	346	218	141
식품접객업	단란주점	2,919	136	101	121	53	89	111	104	72	129	56	57	141	65	95	80	169	100	84	277	53	100	113	328	180	105
식품접객업	유흥주점	2,270	224	257	35	24	19	81	26	8	74	21	28	83	32	65	7	114	40	60	186	52	228	83	276	96	151
식품접객업	위탁급식영업	1,162	63	81	40	36	30	31	18	37	14	28	44	17	42	42	27	56	40	60	103	25	17	79	130	68	34
집단급식소	집단급식소	5,905	192	185	154	195	181	199	206	255	172	205	300	258	191	203	227	336	257	210	298	211	216	280	391	318	265
식품제조업 및 가공업	소계	14,292	223	466	322	343	482	879	560	442	505	566	628	619	327	502	597	623	500	364	594	488	602	640	941	1,453	626
식품제조업 및 가공업	식품제조가공업	2,277	38	79	66	114	62	162	77	49	47	51	42	72	69	150	64	74	78	91	133	81	74	107	154	269	74
식품제조업 및 가공업	즉석판매제조가공업	12,002	185	387	256	229	420	717	483	392	458	515	586	547	258	352	532	549	421	270	457	405	527	533	787	1,184	552
식품제조업 및 가공업	식품첨가물 제조업	13	-	-	-	-	-	-	-	1	-	-	-	-	-	-	1	-	1	3	4	2	1	-	-	-	-
식품 운반·판매·기타업	소계	17,374	90	661	592	569	483	1,044	501	575	577	420	655	252	246	686	573	920	752	402	1,297	41	538	1,852	69	2,949	630
식품 운반·판매·기타업	식품운반업	319	-	4	2	4	6	14	17	-	-	2	6	4	7	12	12	32	10	10	27	3	6	19	17	99	6
식품 운반·판매·기타업	식품판매업	16,957	89	624	586	549	476	1,026	484	575	577	418	649	248	239	673	559	883	735	384	1,264	38	529	1,833	51	2,844	624
식품 운반·판매·기타업	식품보존업	7	-	-	-	-	-	2	-	-	-	-	-	-	-	-	1	2	-	-	1	-	-	-	-	1	-
식품 운반·판매·기타업	용기·포장류제조업	91	1	33	4	16	1	2	-	-	-	-	-	-	-	1	1	3	7	8	5	-	3	-	1	5	-
건강기능식품 제조·수입·판매업	소계	26,446	706	1,107	587	477	748	1,074	813	679	588	587	863	791	430	787	1,040	1,402	938	520	1,572	731	1,002	2,452	3,484	2,062	1,006
건강기능식품 제조·수입·판매업	건강기능식품수입업	1,483	80	43	19	22	32	61	15	19	9	21	30	14	13	85	20	58	60	36	103	26	30	198	263	193	33
건강기능식품 제조·수입·판매업	건강기능식품판매업	24,963	626	1,064	568	455	716	1,013	798	660	579	566	833	777	417	702	1,020	1,344	878	484	1,469	705	972	2,254	3,221	1,869	973
