사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2019-11,경부선,1706,안양,336,22,"16,776","4,259","34,170","12,663","94,074","21,168","89,725","58,285","51,764","68,382","37,788","41,584","36,760","39,368","44,320","40,684","43,493","44,877","41,188","42,948","50,929","42,733","65,512","50,580","68,435","67,606","51,530","99,479","35,889","88,720","33,666","46,599","38,095","42,458","34,365","38,525","16,552","25,059",606,"4,177",2,1,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1707,명학,122,6,"7,438","2,789","10,746","10,108","29,707","23,971","28,171","67,396","15,614","19,284","11,607","12,909","11,646","16,524","13,275","11,576","12,109","12,246","13,994","12,820","13,487","10,730","19,919","12,804","33,067","16,882","43,212","23,940","17,347","21,709","14,495","12,494","12,475","12,228","7,852","10,711","3,635","8,213",132,"1,371",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1708,금정,272,4,"26,254","8,830","35,299","22,624","92,198","42,334","97,024","89,545","59,882","33,637","41,858","22,945","37,160","23,917","38,072","25,669","35,321","28,245","31,052","33,273","32,702","37,657","40,495","46,411","59,733","66,810","78,589","93,843","35,807","81,130","29,164","50,728","27,267","49,854","21,418","45,414","10,066","31,935","1,213","13,067",6,710,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1709,군포,104,2,"6,019","2,579","9,108","7,409","21,838","28,925","20,649","52,449","12,509","10,538","9,525","6,094","9,030","5,695","9,511","5,895","8,193","6,542","7,774","7,052","8,389","8,276","10,393","9,606","22,447","13,647","38,890","16,480","13,808","15,167","11,738","9,218","8,901","8,455","4,386","7,271","1,793","4,933",88,984,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1710,의왕,29,6,"6,914","2,892","12,907","9,795","32,775","27,223","36,072","31,608","18,519","12,062","13,332","8,189","12,690","7,369","13,266","8,434","12,187","9,703","11,630","10,386","12,514","11,742","16,451","15,321","29,306","20,492","27,402","27,897","13,242","24,537","9,430","16,612","8,118","16,105","4,926","13,684","2,307","10,062",190,"2,198",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1711,성균관대,136,8,"8,922","2,103","27,667","6,571","73,016","11,116","63,826","34,878","32,631","20,522","24,668","17,925","22,663","15,874","23,887","15,206","23,197","19,605","20,870","20,438","22,847","22,526","30,116","26,940","32,534","39,744","31,972","61,415","18,953","57,127","15,527","35,900","15,239","32,568","12,480","30,514","6,184","20,679",390,"5,011",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1712,화서,406,5,"7,993","2,210","20,321","5,218","45,180","7,221","37,265","14,906","20,125","7,833","14,802","6,691","13,006","7,509","12,171","8,314","11,201","9,707","10,375","10,326","10,884","12,168","12,502","15,643","14,973","22,778","12,616","33,859","7,332","32,254","5,576","19,292","5,184","16,386","4,068","15,559","1,487","9,642",86,"2,923",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1713,수원,"2,438",64,"23,656","6,608","39,427","34,428","83,299","63,662","91,934","102,262","63,642","94,937","56,122","77,717","60,420","79,227","64,766","85,597","68,816","88,900","70,619","84,492","86,817","87,674","110,605","105,589","123,945","120,973","118,423","146,010","100,183","130,909","98,042","71,196","80,598","58,580","71,142","49,433","29,549","31,493",988,"10,174",1,1,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1714,독산,703,8,"8,247","2,357","18,037","12,621","45,598","36,912","46,544","104,594","27,814","46,867","20,786","17,798","19,601","14,080","21,344","14,403","20,030","16,317","18,143","17,609","19,728","19,722","25,499","23,116","50,115","30,735","79,276","41,670","34,311","43,378","19,054","23,840","15,127","23,952","9,890","21,850","3,646","13,709",178,"1,016",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1715,세류,386,2,"3,439",797,"8,059","3,206","17,205","5,020","13,373","5,903","7,582","4,636","6,999","3,999","5,979","4,127","5,546","4,386","5,446","4,638","4,932","4,864","6,013","5,536","6,692","6,962","8,741","9,422","7,936","13,434","4,858","12,233","3,995","9,228","3,275","7,172","2,532","6,182",748,"3,938",13,"1,377",0,4,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1716,병점,"2,989",22,"8,286","4,999","26,823","12,503","55,867","20,847","51,326","35,075","35,303","29,006","27,504","21,424","26,726","17,336","28,266","22,418","25,928","19,738","25,401","22,391","29,397","23,729","35,819","30,706","42,789","42,819","45,241","51,354","25,681","50,830","17,199","36,666","15,674","31,916","11,594","29,786","3,480","19,108",33,"10,138",0,133,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1717,세마,218,2,"2,067",479,"5,808","1,723","10,559","4,264","10,953","6,882","8,002","2,527","5,655","2,150","4,654","2,283","4,961","2,545","4,695","3,029","3,912","3,572","4,421","4,051","5,486","5,073","6,572","7,796","6,922","10,013","3,201","7,524","2,133","7,269","1,943","5,484","1,251","4,822",538,"3,502",32,215,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1718,오산대,127,0,"2,338",700,"4,449","2,704","11,877","4,231","9,913","8,966","7,168","11,366","5,495","6,601","4,909","5,434","5,485","4,914","5,348","5,173","5,678","4,551","7,580","4,628","10,945","5,926","9,752","8,081","9,493","10,556","4,114","7,940","3,636","6,798","3,026","4,603","2,105","3,943",961,"3,409",56,150,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1719,오산,333,3,"6,587","1,595","13,648","9,139","25,503","19,107","26,965","22,925","20,558","15,885","19,131","11,560","18,054","11,546","19,167","13,717","18,578","14,260","16,969","15,000","18,997","16,842","22,309","22,361","27,495","26,866","31,079","28,844","15,644","30,048","14,070","19,204","10,570","16,823","7,611","14,631","2,873","9,404",122,582,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1720,진위,7,0,704,223,"1,780","2,199","3,763","7,766","3,554","8,387","2,761","2,010","2,057","1,177","1,850","1,240","2,093","1,216","2,203","1,701","2,022","1,388","2,726","1,919","3,852","2,285","6,566","3,037","9,930","3,203","3,248","2,438","1,993","2,319","1,186","1,930",604,"1,668",273,975,17,57,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1721,송탄,50,0,"5,999",863,"7,873","3,868","13,356","5,943","13,068","9,354","11,590","5,815","9,068","3,989","9,081","4,988","9,492","5,893","9,050","6,948","8,160","6,714","8,414","8,630","11,296","10,580","11,111","12,901","11,390","16,341","6,869","12,070","4,811","13,030","3,989","9,481","2,367","7,898","1,206","7,664",46,937,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1722,서정리,24,1,"3,017","6,323","7,664","5,756","12,374","10,113","13,934","17,517","9,810","9,995","10,301","7,312","9,228","6,012","10,480","7,624","10,472","8,460","9,300","7,295","11,662","9,470","15,274","11,313","22,492","12,819","18,079","14,121","10,212","13,792","7,064","10,641","5,189","9,426","2,933","8,734","1,295","6,441",14,"1,247",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1723,지제,2,0,"1,051","3,266","2,741","5,556","7,421","9,238","6,259","7,017","4,748","3,634","3,326","2,380","3,245","2,839","4,549","3,502","3,623","3,440","3,663","2,720","5,383","4,121","6,211","4,834","11,354","4,778","9,556","7,638","6,124","5,983","3,728","4,306","3,675","4,177","2,514","3,112",948,"1,864",6,402,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1724,평택,70,1,"8,033","2,517","14,693","9,233","31,006","17,335","34,648","25,345","27,484","21,914","26,832","22,004","21,386","19,322","23,678","24,310","23,799","27,468","23,532","23,249","26,890","29,136","31,895","31,284","36,631","42,246","34,925","45,893","23,694","30,983","24,027","23,638","17,425","21,755","13,113","16,491","6,466","10,819",323,"1,798",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1725,성환,18,1,"2,101",670,"3,060","2,776","6,706","10,127","8,410","20,434","6,472","23,016","7,410","10,789","6,691","6,746","10,636","9,267","10,121","8,833","10,027","5,560","14,853","6,241","22,555","7,994","18,646","8,161","16,632","8,965","6,997","8,078","6,324","6,842","4,585","6,837","2,806","5,115","1,163","4,290",87,806,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1726,직산,39,0,782,180,"1,481",836,"2,164","2,896","1,852","3,339","2,044","2,155","1,566","1,160","1,491","1,114","1,486","1,482","1,515","1,355","1,427","1,244","1,750","1,465","1,725","2,032","2,457","1,935","3,488","2,626","1,278","1,871",969,"1,316",979,"1,351",411,"1,094",226,777,19,274,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1727,두정,"1,301",3,"4,462",795,"8,167","2,745","14,399","8,447","13,423","19,344","10,757","21,502","8,994","15,000","9,035","11,951","11,296","12,476","9,637","8,096","11,151","9,748","12,544","8,983","15,460","12,409","16,943","13,892","18,162","18,016","11,092","13,464","8,245","12,281","7,448","10,956","5,730","8,385","2,243","6,557",292,"2,438",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1728,천안,"2,526",0,"2,953",700,"5,460","3,080","10,628","7,918","11,303","13,545","12,647","15,619","11,585","15,391","12,290","14,503","13,228","15,943","12,859","12,020","18,277","15,302","21,021","13,319","26,526","15,939","22,977","16,885","19,981","18,279","12,880","12,693","10,154","10,175","8,004","7,410","5,503","6,540","2,701","4,187",572,"2,542",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1729,당정,8,0,"4,079","1,084","10,876","3,437","30,353","9,926","27,360","21,054","16,156","12,885","11,064","8,236","10,616","6,292","11,697","7,963","10,213","7,634","9,390","8,308","10,535","9,089","13,017","11,476","17,203","15,956","19,129","21,728","8,705","21,501","6,766","14,494","5,759","13,813","4,817","13,105","2,023","9,364",133,"1,947",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1749,서동탄,2,0,"1,561",2,"5,021",660,"13,195","1,567","6,572","2,522","3,482",976,"2,973","1,063","2,694","1,327","2,500","1,530","2,415","1,735","2,018","2,131","2,203","2,351","2,622","3,181","3,202","3,981","3,167","6,009","1,662","6,714","1,049","4,008",883,"3,126",577,"2,345",124,"3,013",7,"1,251",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경부선,1750,광명,1,0,41,"2,920","2,499","2,921","15,870","3,660","7,438","3,819","8,216","4,079","3,633","3,178","4,272","3,162","4,736","3,972","4,022",173,"3,945","6,882","4,796",243,"11,281","6,635","4,624","5,218","13,437","12,721","4,785","13,456","4,864","3,493","2,477",58,"1,836","2,754",3,3,0,0,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1801,개봉,"1,550",4,"20,718","6,051","39,279","13,355","104,287","16,915","105,098","28,873","65,050","23,221","44,904","20,005","39,043","23,131","40,169","27,977","38,459","27,039","33,658","33,615","32,622","39,712","36,161","50,740","38,344","68,596","37,233","98,217","22,363","86,398","17,552","53,953","15,628","48,638","11,832","43,476","5,492","28,564",192,"3,640",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1802,오류동,511,1,"12,298","2,145","19,082","6,362","56,186","7,689","57,394","13,901","33,926","11,859","23,391","11,837","20,703","11,031","22,840","13,499","21,631","16,497","17,408","17,659","18,141","20,198","20,507","23,944","20,161","29,323","19,051","45,569","10,676","44,691","8,833","26,238","7,713","24,562","6,015","22,384","2,637","16,278",133,"2,719",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1803,역곡,765,26,"29,017","3,424","48,413","13,068","140,534","15,116","143,627","40,868","80,514","45,612","52,197","30,905","45,392","32,942","48,136","33,579","45,904","40,661","39,010","38,620","40,596","47,249","48,560","57,540","55,446","80,605","50,609","122,959","31,893","115,156","25,738","70,151","24,506","62,920","21,753","58,573","11,030","40,514",862,"7,778",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1804,부천,"2,511",14,"39,798","5,493","46,953","15,780","122,188","22,499","128,745","63,463","78,283","53,271","58,181","46,921","55,928","47,798","62,355","57,677","62,095","65,582","58,810","61,874","63,480","67,609","73,310","76,721","76,430","105,913","74,717","145,369","52,918","135,315","43,257","77,581","45,370","66,640","41,249","56,139","21,056","42,612","1,786","8,148",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1805,송내,"1,529",30,"18,351","9,773","40,787","20,675","132,369","40,143","116,598","102,395","67,774","53,080","48,648","30,033","45,134","27,818","49,338","30,689","43,339","35,100","38,346","35,325","40,551","41,154","48,617","50,979","60,187","70,904","91,854","105,296","43,738","107,227","32,006","62,393","27,775","55,797","22,819","52,247","11,024","36,259","1,746","7,227",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1806,부평,"7,623",42,"28,057","5,900","40,238","13,983","102,965","23,330","100,864","39,462","58,225","47,446","48,950","41,996","47,430","48,249","54,888","56,580","53,937","67,756","53,969","65,668","57,909","73,586","68,328","84,807","72,936","110,070","71,049","153,155","55,224","139,848","51,502","76,022","54,960","62,946","50,439","52,247","28,093","37,417","4,899","11,249",0,3,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1807,백운,128,6,"8,847","1,754","15,979","3,925","35,160","6,123","35,450","16,341","21,635","10,662","16,893","7,877","15,435","8,587","15,787","10,242","14,054","11,101","12,458","11,916","12,545","14,069","13,252","17,671","14,395","22,752","13,581","30,650","7,309","28,084","5,659","17,529","6,107","16,330","5,051","15,236","2,559","11,299",330,"3,251",0,1,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1808,동암,739,13,"22,887","5,278","33,641","11,868","66,450","16,618","68,155","21,399","42,373","17,565","32,179","16,981","29,233","17,602","29,979","19,862","29,159","20,871","24,701","23,422","24,522","29,755","26,740","33,672","30,360","51,379","29,664","65,457","18,603","60,577","14,156","39,706","13,779","36,004","10,920","32,840","5,586","25,109",475,"6,452",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1809,주안,"1,269",33,"15,876","4,227","28,711","10,904","74,922","23,085","71,275","42,451","44,089","35,528","35,081","26,957","35,138","24,850","41,847","30,559","39,274","27,903","35,232","28,950","40,655","30,029","43,600","36,451","51,307","51,644","52,930","68,219","32,356","72,148","27,862","44,089","26,349","38,362","22,058","35,802","12,049","27,683","1,134","8,120",0,1,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1810,제물포,904,7,"7,612","2,266","15,052","6,645","41,569","15,009","40,097","39,039","22,967","24,620","17,430","13,222","17,817","11,140","20,090","14,313","19,942","15,295","18,026","13,512","22,659","14,998","29,423","18,644","29,733","24,427","29,034","31,609","13,480","30,436","9,621","20,696","7,878","19,001","5,913","17,246","2,794","14,132",146,"5,073",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1811,동인천,"2,063",10,"9,624","1,825","18,255","11,466","49,628","25,072","41,282","40,823","27,167","24,280","23,897","22,650","25,708","26,251","27,919","26,262","29,506","28,959","29,186","25,896","33,255","27,277","36,695","28,982","44,968","35,610","52,790","39,864","27,204","41,476","17,416","25,803","13,687","22,004","9,253","21,064","3,644","15,866",16,"5,731",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1812,인천,302,5,"1,436",713,"3,263","3,437","6,425","6,617","6,094","9,258","4,260","7,649","4,450","9,322","5,720","12,625","7,627","11,454","9,789","10,786","12,868","8,938","14,217","7,694","16,669","5,798","17,521","4,592","14,935","4,074","6,774","2,990","4,661","2,263","3,435","1,968","1,879","1,526",581,"1,231",11,"1,356",0,8,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1813,구일,290,13,"3,977","1,416","10,050","3,683","31,187","8,739","29,632","21,663","16,325","14,547","11,818","8,638","10,971","7,375","11,585","9,519","11,126","11,206","10,465","11,268","12,134","14,297","16,640","16,936","15,416","22,765","15,878","38,530","9,501","29,656","6,645","15,095","8,914","13,202","20,710","12,199","7,867","8,097",109,"1,356",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1814,소사,"1,180",40,"18,191","3,200","17,710","8,543","40,756","9,495","39,730","23,700","26,707","14,691","20,418","16,484","18,352","14,316","20,484","17,568","18,910","16,940","17,430","16,161","19,861","18,064","22,922","20,724","22,243","27,982","20,351","32,239","12,010","32,925","8,686","20,211","7,746","18,435","6,333","18,916","2,723","12,837",218,"3,610",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1815,부개,"1,918",14,"10,158","2,589","17,757","4,552","44,612","6,721","41,321","14,861","24,394","8,228","17,987","6,939","15,658","8,085","16,465","9,895","14,796","10,924","11,928","11,867","11,218","14,853","13,881","19,485","14,585","23,743","14,085","32,891","8,106","31,177","5,905","19,603","5,066","18,516","3,566","16,677","1,961","11,065",292,"3,443",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1816,간석,465,28,"5,922","1,227","12,801","2,725","28,307","4,668","28,064","9,833","15,341","6,207","11,785","6,000","10,678","6,134","10,424","7,483","10,281","8,027","8,523","8,452","8,683","10,462","9,737","13,071","10,912","16,509","10,815","22,092","6,384","22,102","5,038","13,450","4,586","11,859","3,541","11,353","1,979","7,921",199,"3,106",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1817,도원,777,21,"2,651","1,272","3,796","2,351","8,468","7,186","8,283","31,199","5,933","5,993","5,383","5,397","5,821","4,829","7,789","5,727","9,443","7,199","6,511","5,115","9,860","5,952","17,138","6,999","10,937","8,026","10,023","7,785","4,049","6,270","3,305","4,449","3,338","3,874","1,430","3,711",655,"2,978",52,"1,833",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1821,온수(성공회대입구),183,4,"5,776","1,426","9,268","5,762","25,586","12,454","27,523","19,461","17,822","11,818","13,247","8,518","12,601","7,941","15,128","8,915","14,657","9,831","12,581","10,164","12,886","11,470","17,806","14,051","18,352","17,142","14,571","25,471","7,850","24,125","6,109","14,628","6,555","14,109","4,568","12,424","2,689","8,711",250,"1,755",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1822,중동,713,4,"10,729","1,726","17,804","5,478","47,995","6,533","40,651","16,340","24,576","11,708","17,344","8,736","15,951","9,520","17,143","10,877","16,697","12,082","13,141","12,402","12,830","14,779","14,845","18,349","15,350","24,333","15,884","33,052","8,653","34,504","6,963","19,255","6,256","17,844","4,237","16,231","1,946","12,942",232,"2,999",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경인선,1823,도화,302,0,"4,032","2,001","6,894","3,499","16,997","3,880","17,458","9,207","9,747","3,945","7,178","4,306","6,787","4,124","7,320","5,177","6,903","5,486","5,716","5,668","5,976","6,808","8,180","8,010","9,233","9,205","7,852","11,185","3,832","10,215","2,862","6,923","1,947","6,205","1,477","5,401",901,"4,635",28,"2,125",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1008,이촌(국립중앙박물관),87,2,"1,247",724,"3,715","2,399","9,060","4,828","11,904","9,173","9,592","6,398","7,489","4,314","7,216","3,899","7,563","4,027","7,781","4,945","6,888","5,073","7,411","5,817","9,029","6,417","11,392","7,654","11,101","9,512","6,357","7,434","5,043","5,273","4,585","4,529","3,395","5,122",997,"3,014",100,"1,055",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1009,서빙고,41,0,730,584,"1,792","2,674","3,312","4,443","4,374","8,476","4,027","4,110","3,319","3,423","2,985","2,417","3,319","2,204","4,112","3,559","3,423","2,528","4,267","3,289","4,688","3,711","6,539","4,151","7,594","4,905","3,032","4,005","2,566","2,212","2,286","1,722","1,860","1,905",431,"1,355",20,393,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1010,한남,166,0,"2,397",713,"2,866","6,049","5,595","9,848","7,276","16,202","6,152","16,289","5,532","7,944","6,349","6,155","7,498","6,084","6,615","6,589","7,193","5,614","9,021","5,840","11,434","7,038","14,971","8,843","17,314","10,263","9,188","7,276","6,903","4,346","6,173","4,106","4,982","3,368","2,449","2,090",135,876,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1011,옥수,0,0,3,19,12,71,24,20,56,326,30,42,27,156,17,159,21,65,23,34,31,10,41,17,518,29,373,27,41,23,343,14,39,14,22,14,17,24,43,0,4,0,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1012,응봉,115,1,"1,211",303,"2,784","1,023","7,718","1,840","9,189","2,743","5,796","1,855","3,697","1,457","3,264","1,332","3,430","1,797","2,943","2,507","2,525","2,610","2,722","3,176","3,250","3,981","3,195","4,644","3,076","5,817","1,843","5,342","1,268","3,245","1,094","2,888",692,"2,373",295,"1,875",30,555,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1013,왕십리(성동구청),823,2,"5,763",972,"9,106","5,707","28,003","12,767","48,228","27,315","29,480","25,586","18,554","21,452","18,958","24,081","23,354","26,133","26,279","30,829","26,297","28,997","29,861","32,960","36,943","38,153","40,498","50,601","39,492","79,948","30,931","62,769","29,964","36,538","35,678","28,669","35,068","27,912","17,581","15,798","2,011","6,430",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1014,청량리(서울시립대입구),"1,056",30,"7,257","1,359","8,616","12,019","30,662","15,985","36,119","25,886","30,094","37,509","31,233","29,933","26,922","36,986","32,419","36,377","35,196","36,692","35,224","36,243","40,814","38,527","39,551","42,406","41,134","42,811","35,489","55,274","29,820","42,442","35,141","23,680","17,895","20,441","14,175","18,241","5,248","10,572",320,"4,626",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1016,외대앞,525,7,"6,615","1,679","9,466","4,665","23,265","6,893","30,431","31,876","20,430","16,965","15,280","19,949","17,694","18,412","20,312","18,391","18,638","16,395","20,461","19,437","21,630","15,643","25,087","18,352","35,120","23,387","25,333","30,364","15,519","25,747","13,506","17,384","16,187","16,264","11,852","17,178","6,060","13,906",337,"4,119",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1017,신이문,"1,363",12,"9,377","1,581","15,795","2,898","43,029","4,655","49,356","9,675","27,750","6,232","18,416","6,320","15,132","6,906","15,157","8,581","14,416","10,311","11,906","12,066","11,260","14,663","10,863","18,644","11,207","23,504","11,310","33,952","7,430","30,014","4,879","18,844","3,575","16,571","2,599","17,394","1,254","10,703",79,"2,680",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1018,석계,"1,419",6,"7,526","2,570","14,385","4,961","29,412","7,340","37,119","13,993","26,056","10,493","19,774","10,039","17,879","11,207","18,384","13,092","17,917","14,873","15,996","16,440","16,122","19,092","16,147","24,054","17,538","32,782","16,329","43,653","11,341","38,669","8,854","24,023","8,448","20,971","6,895","21,498","3,553","12,822",295,"3,433",1,2,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1019,광운대,"1,910",14,"6,453","1,996","14,276","3,313","38,542","7,353","36,209","26,927","20,890","16,224","15,222","14,433","14,615","16,090","17,552","13,747","15,752","16,918","15,627","15,908","16,560","14,205","20,075","16,415","24,610","21,526","17,609","28,241","10,655","26,477","9,687","16,653","9,471","14,375","7,693","14,970","3,933","11,713",441,"6,473",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1020,월계,959,12,"5,547","1,590","8,443","2,495","21,253","8,368","23,779","13,581","16,714","17,446","13,011","10,204","11,788","7,135","13,402","9,202","14,583","12,361","11,881","10,276","12,753","11,340","17,639","13,398","18,361","16,397","12,856","20,322","7,517","17,889","6,346","11,140","6,012","9,634","5,124","8,946","1,668","6,504",155,"1,571",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1021,녹천,"1,282",6,"4,726",886,"8,468","1,782","23,548","4,443","22,915","5,764","14,966","3,981","10,057","3,834","8,583","3,494","9,414","4,669","7,668","4,914","6,807","5,833","6,073","6,993","7,972","9,150","7,073","11,122","6,127","15,189","3,970","14,390","2,483","9,448","2,291","8,237","1,657","7,687",644,"5,946",69,"1,674",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1022,창동,0,0,0,0,0,0,0,0,4,0,1,0,1,0,1,0,0,0,2,0,2,0,0,0,1,0,1,0,2,0,2,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1901,방학,512,4,"11,946","1,576","15,223","5,398","35,544","8,573","36,114","21,452","25,054","13,111","18,891","11,489","17,979","10,421","18,788","13,291","18,267","14,332","16,109","15,859","15,708","18,826","16,772","23,321","18,045","25,252","19,730","33,022","10,595","29,716","7,783","18,033","6,282","15,561","4,861","12,646","1,813","9,252",199,"2,276",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1902,도봉,198,3,"7,934","1,283","10,237","3,195","22,361","4,046","23,505","11,092","15,853","10,206","12,619","7,987","11,651","6,507","11,046","8,179","11,460","8,916","10,807","9,783","9,976","11,005","10,347","14,197","11,246","14,824","11,502","18,809","5,608","16,993","3,603","10,526","2,754","9,585","2,130","8,117",951,"5,800",122,"1,620",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1903,도봉산,192,6,"7,166",660,"10,024","2,702","26,386","4,032","24,911","8,238","16,570","14,121","13,526","17,162","13,761","14,652","15,993","12,589","19,484","12,022","22,675","11,420","23,487","10,449","23,654","10,345","19,704","10,722","13,951","11,318","8,526","9,908","5,155","6,350","3,765","6,005","2,704","5,727","1,147","4,540",180,"1,828",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1904,망월사,443,5,"7,256","1,141","13,271","3,960","30,417","5,227","29,373","25,245","21,294","24,666","16,411","18,012","16,070","12,078","19,302","11,499","17,953","13,805","15,197","12,766","17,853","15,267","21,073","18,223","21,764","21,603","16,440","27,254","8,662","27,160","7,044","17,617","6,452","14,504","5,295","12,671","2,819","9,964",362,"3,142",0,0,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1905,회룡,"1,147",44,"15,443","1,925","26,099","6,599","63,673","8,181","54,399","13,002","36,955","12,261","29,041","11,549","25,728","13,248","25,339","15,503","22,071","17,047","18,281","20,851","16,852","24,070","17,075","30,939","16,636","36,819","14,704","45,191","9,071","47,250","6,830","29,882","5,801","23,071","4,540","20,242","1,863","15,189",225,"5,473",0,1,0,0,0,0,2019-12-03 11:43:20
2019-11,경원선,1906,의정부,"2,937",13,"11,246","1,993","22,341","10,334","49,388","15,475","49,045","37,968","33,684","43,659","28,571","34,817","31,070","37,705","34,919","42,840","36,507","45,868","39,184","43,067","44,000","39,509","49,594","49,992","52,968","54,734","53,321","65,057","36,873","60,678","33,334","39,469","25,749","28,945","21,760","23,410","10,597","18,262",811,"9,848",0,0,0,0,0,0,2019-12-03 11:43:20
