사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2019-11,2호선,0204,을지로4가,10,0,997,"1,199","1,850","11,077","3,680","29,024","6,790","82,701","10,927","45,770","14,100","28,120","16,770","26,339","19,401","26,538","21,818","24,241","26,373","24,609","30,533","22,225","33,314","19,633","54,621","18,363","76,820","15,868","36,957","10,918","19,588","6,577","16,326","5,920","11,515","5,722","5,500","4,261","1,005","1,216",5,72,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0205,동대문역사문화공원,425,3,"10,450","1,070","6,466","9,518","9,048","26,754","16,901","67,221","16,551","47,938","18,494","39,698","22,689","36,993","28,764","38,288","30,337","43,358","34,827","40,915","42,981","37,840","52,070","35,938","58,458","39,307","67,098","46,319","43,374","51,147","33,261","35,418","31,008","27,383","29,448","21,385","20,299","14,707","3,700","5,051",11,223,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0206,신당,59,0,"6,630","1,456","12,291","8,270","29,786","17,293","51,084","41,425","32,610","27,959","22,747","21,093","21,606","21,512","24,195","23,218","25,838","24,636","26,553","25,097","26,335","27,705","30,124","29,998","35,065","37,641","39,835","50,010","24,999","37,642","18,496","23,790","17,239","22,305","12,476","21,716","6,649","14,698","1,030","4,975",6,114,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0207,상왕십리,29,2,"6,342",827,"13,271","6,315","41,746","11,721","71,581","38,334","38,862","23,240","24,840","15,366","22,493","14,047","23,455","15,278","22,881","18,049","20,539","18,751","22,399","21,775","23,219","26,171","27,555","33,558","33,269","53,019","20,691","40,478","13,893","25,860","12,940","24,612","10,047","24,824","4,087","16,297",624,"5,579",4,91,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0208,왕십리(성동구청),964,4,"8,464","1,103","11,898","6,899","30,342","13,845","59,134","32,152","37,792","24,495","25,317","18,028","25,704","19,335","29,122","20,798","31,304","24,118","29,995","23,474","32,613","26,372","40,997","31,161","47,114","42,661","51,352","68,402","33,926","48,371","32,125","29,176","36,744","25,869","36,265","25,915","24,286","18,402","4,197","7,430",7,217,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0209,한양대,9,0,"1,414",467,"2,567","7,272","6,274","15,942","10,966","74,619","8,862","67,550","9,930","59,047","21,140","27,664","19,977","39,815","19,023","28,741","24,077","25,821","41,127","20,240","46,617","15,125","57,497","18,054","47,447","24,234","22,548","13,039","20,506","7,696","25,501","6,956","16,296","6,844","8,829","4,987","1,822","1,592",3,53,0,1,0,0,2019-12-03 11:43:20
2019-11,2호선,0210,뚝섬,13,2,"4,420","2,081","9,036","15,208","23,740","30,109","36,399","131,184","22,660","73,110","17,851","33,229","19,071","26,377","22,640","28,940","27,140","31,152","29,041","29,083","32,307","30,583","40,419","31,380","55,093","35,619","116,160","48,029","57,855","32,010","33,207","17,199","32,133","16,004","21,744","15,533","8,946","10,734","1,361","3,587",2,150,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0211,성수,27,0,"5,676","4,182","10,912","28,281","26,987","65,118","37,253","271,941","30,128","114,298","24,637","47,237","26,338","36,775","29,599","35,976","35,617","40,571","38,867","39,130","43,666","39,385","52,651","39,819","92,417","44,845","211,789","55,906","88,445","39,391","51,887","22,385","48,757","20,130","36,264","18,200","15,531","12,674","2,173","7,950",3,"1,139",0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0212,건대입구,373,11,"20,698","2,457","25,538","18,493","61,867","27,786","112,345","76,706","77,048","58,642","47,425","56,167","45,251","59,094","54,961","69,624","60,788","76,963","62,495","76,376","68,605","81,543","78,420","96,213","96,141","131,814","107,338","202,398","81,840","155,441","82,772","89,082","97,384","77,673","101,697","73,167","64,919","46,250","11,317","15,133",11,"1,440",0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0213,구의(광진구청),33,4,"14,625","1,381","27,789","11,176","71,828","15,917","129,644","41,408","77,155","27,909","40,721","22,530","35,327","21,537","35,779","24,918","36,120","28,614","33,124","30,676","31,401","37,765","34,769","44,900","40,084","59,654","48,539","94,060","26,727","77,259","20,607","50,383","19,343","48,419","17,054","48,438","10,262","29,487","1,896","9,217",6,300,1,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0214,강변(동서울터미널),28,0,"9,758","3,617","30,448","32,232","94,258","37,257","146,892","60,427","114,715","58,485","91,555","56,057","83,635","54,663","80,815","62,232","77,673","72,470","73,985","79,944","73,570","91,151","76,301","102,549","84,108","117,097","92,413","157,046","78,571","120,900","67,916","82,538","53,889","69,940","37,617","65,035","15,154","36,447","2,204","9,312",4,255,0,0,0,0,2019-12-03 11:43:20
2019-11,2호선,0215,잠실나루,6,0,"3,193","1,682","11,878","10,036","41,799","22,698","58,940","42,955","36,569","32,304","28,326","24,411","28,571","21,017","28,545","25,177","26,550","26,623","27,728","25,589","29,564","24,960","33,666","25,763","40,158","30,599","36,884","44,640","20,005","37,160","15,539","22,986","11,294","21,564","7,583","20,915","3,713","13,028",615,"4,270",4,185,0,1,0,0,2019-12-03 11:43:20
