,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
17,2014,송파구,9,9,4199,3532,255,264,7740,8004,1184,668897,6899,258291,675796,21,3,180,96,276
42,2015,송파구,13,11,3239,3295,220,231,6547,6778,1010,663406,7175,257294,670581,187,27,184,103,287
67,2016,송파구,15,9,2543,3289,234,243,5847,6090,917,656393,7073,256302,663467,287,43,181,107,288
92,2017,송파구,1,6,2274,3007,288,294,5282,5576,833,662012,6718,262069,668730,403,60,174,103,277
117,2018,송파구,6,5,2352,3135,309,314,5493,5807,862,666312,6749,268824,673061,799,118,161,99,260
