,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
6,2014,구로구,14,3,2377,2743,252,255,5134,5389,1179,427022,29736,172682,456758,187,40,100,40,140
31,2015,구로구,15,8,2335,3007,281,289,5357,5646,1236,424262,32262,172651,456525,455,99,97,33,130
56,2016,구로구,10,9,1910,3164,273,282,5084,5366,1186,420183,32100,172614,452283,781,172,97,37,134
81,2017,구로구,8,7,1725,2827,328,335,4560,4895,1100,413818,30804,171938,444622,1321,297,97,33,130
106,2018,구로구,9,8,1717,2826,250,258,4552,4810,1094,406561,33044,172052,439605,1807,411,96,35,131
