,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
12,2014,마포구,22,4,2763,2686,265,269,5471,5740,1464,382186,9766,167797,391952,70,17,95,65,160
37,2015,마포구,14,8,2555,2983,294,302,5552,5854,1465,388910,10580,171489,399490,247,61,88,56,144
62,2016,마포구,4,4,2527,2939,399,403,5470,5873,1488,383712,10766,170480,394478,606,153,85,64,149
87,2017,마포구,8,3,2094,2673,500,503,4775,5278,1360,376970,10975,169461,387945,978,252,84,64,148
112,2018,마포구,6,6,2011,2676,473,479,4693,5172,1341,374654,10976,171208,385630,1173,304,82,63,145
