,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
0,2014,강남구,37,13,3895,4394,512,525,8326,8851,1534,571509,5359,234324,576868,430,74,328,276,604
25,2015,강남구,21,13,3850,4284,449,462,8155,8617,1480,576881,5325,237556,582206,976,167,313,269,582
50,2016,강남구,39,5,3587,4002,516,521,7628,8149,1415,570512,5084,235329,575597,1741,302,301,255,556
75,2017,강남구,20,7,3130,3956,607,614,7106,7720,1362,561497,4929,233311,566427,2318,409,287,233,520
100,2018,강남구,14,10,3004,3885,600,610,6903,7513,1362,546637,4978,229509,551615,2766,501,266,211,477
