,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
23,2014,중구,13,6,2576,2415,221,227,5004,5231,3821,129091,7805,60214,136897,80,58,101,257,358
48,2015,중구,9,3,2548,2224,170,173,4781,4954,3666,126662,8442,59607,135105,325,240,95,252,347
73,2016,중구,8,3,2150,2225,198,201,4383,4584,3411,125526,8844,59474,134370,595,442,97,250,347
98,2017,중구,9,1,1846,2061,267,268,3916,4184,3129,124830,8880,59847,133711,912,682,91,229,320
123,2018,중구,11,2,1855,1955,207,209,3821,4030,2977,125913,9450,61182,135364,1240,916,92,233,325
