,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
8,2014,노원구,8,5,2404,2722,173,178,5134,5312,901,585599,3474,221580,589074,80,13,57,28,85
33,2015,노원구,7,10,2193,2723,197,207,4923,5130,881,578109,3575,220327,581684,541,93,56,25,81
58,2016,노원구,6,5,1857,2516,159,164,4379,4543,789,571403,3670,220349,575074,839,145,56,25,81
83,2017,노원구,9,4,1538,2478,180,184,4025,4209,746,560295,3741,218876,564037,949,168,51,24,75
108,2018,노원구,5,5,1422,2381,194,199,3808,4007,725,547982,4069,217804,552052,1105,200,49,23,72
