,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
14,2014,서초구,14,6,2747,2506,285,291,5267,5558,1232,446394,4601,172259,450996,134,29,113,83,196
39,2015,서초구,9,8,2635,2399,393,401,5043,5444,1203,447679,4572,173092,452251,349,77,113,77,190
64,2016,서초구,13,5,2205,2338,428,433,4556,4989,1107,446278,4339,173282,450618,701,155,111,74,185
89,2017,서초구,13,9,1812,2404,470,479,4229,4708,1051,443428,4277,173688,447706,948,211,111,72,183
114,2018,서초구,5,5,1851,2395,470,475,4251,4726,1068,438039,4174,173830,442213,1344,303,110,67,177
