,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
24,2014,중랑구,14,11,2390,2775,163,174,5179,5353,1264,418733,4551,176247,423284,770,181,104,26,130
49,2015,중랑구,11,13,2135,2847,187,200,4993,5193,1233,416402,4646,176692,421048,872,207,103,27,130
74,2016,중랑구,14,8,1691,3164,164,172,4869,5041,1208,412558,4701,177114,417259,993,237,104,27,131
99,2017,중랑구,3,5,1533,2858,172,177,4394,4571,1103,409620,4534,178466,414155,1059,255,104,26,130
124,2018,중랑구,3,4,1526,2581,174,178,4110,4288,1046,404985,4778,179961,409763,1068,260,103,24,127
