,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
19,2014,영등포구,10,14,3080,3649,250,264,6739,7003,1658,384497,37696,168226,422194,217,51,277,186,463
44,2015,영등포구,22,14,2964,3572,295,309,6558,6867,1633,380814,39556,168246,420370,583,138,269,179,448
69,2016,영등포구,19,13,2341,3593,356,369,5953,6322,1532,375052,37358,167118,412411,872,211,262,173,435
94,2017,영등포구,5,15,2304,3190,455,470,5499,5969,1483,368653,33817,166450,402471,1243,308,256,171,427
119,2018,영등포구,8,17,2292,3132,391,408,5432,5840,1445,368621,35331,169835,403953,2036,504,208,159,367
