,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
11,2014,동작구,9,2,1787,1868,203,205,3664,3869,918,409815,11382,173011,421197,503,119,53,52,105
36,2015,동작구,9,5,1865,1910,285,290,3784,4074,977,404533,12054,171783,416588,633,151,50,51,101
61,2016,동작구,7,8,1226,1661,325,333,2894,3227,780,401629,12060,172205,413689,887,214,49,48,97
86,2017,동작구,7,1,1226,1700,396,397,2933,3330,810,398628,12105,173117,410733,1165,283,51,49,100
111,2018,동작구,7,3,1151,1651,288,291,2809,3100,760,395214,12610,175255,407825,1420,348,44,50,94
