,년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
20,2014,용산구,7,1,1560,2018,213,214,3585,3799,1515,237789,12815,108907,250604,107,42,121,35,156
45,2015,용산구,14,5,1557,2050,194,199,3621,3820,1533,234649,14422,107995,249072,209,83,118,33,151
70,2016,용산구,9,4,1489,2384,251,255,3882,4137,1678,231697,14715,107063,246412,298,120,115,30,145
95,2017,용산구,5,1,1346,2381,327,328,3732,4060,1663,229109,14884,106975,243993,358,146,106,30,136
120,2018,용산구,3,1,1096,1980,331,332,3079,3411,1391,229494,15714,108691,245208,431,175,108,29,137
