year,place,gg,gd,crimesum,murder,jd,fight,CCTV,sd,korean,forign,pop_sum
2017,마포구,500,8,5278,3,2094,2673,372,169461,376970,10975,387945
2017,서대문구,202,1,3113,4,1230,1676,415,137348,314185,12085,326270
2017,서초구,470,13,4708,9,1812,2404,247,173688,443428,4277,447706
2017,성동구,132,3,2767,1,1072,1559,933,131914,304279,7900,312179
2017,성북구,173,8,3434,7,1344,1902,285,187886,447097,11453,458551
2017,송파구,288,1,5576,6,2274,3007,116,262069,662012,6718,668730
2017,양천구,138,3,3882,3,1590,2148,137,176810,473504,3931,477435
2017,영등포구,455,5,5969,15,2304,3190,371,166450,368653,33817,402471
2017,용산구,327,5,4060,1,1346,2381,60,106975,229109,14884,243993
2017,은평구,230,4,3883,6,1387,2256,229,202267,488158,4422,492581
2017,종로구,253,10,4057,7,1644,2143,281,73251,154469,9340,163809
2017,중구,267,9,4184,1,1846,2061,317,59847,124830,8880,133711
2017,중랑구,172,3,4571,5,1533,2858,66,178466,409620,4534,414155
2018,강남구,600,14,7513,10,3004,3885,448,229509,546637,4978,551615
2018,강동구,170,7,3919,3,1515,2224,385,177483,431263,4283,435546
2018,강북구,188,7,3437,8,1112,2122,319,143223,321496,3694,325191
2018,강서구,269,6,4629,11,1724,2619,254,257165,599329,6675,606005
2018,관악구,352,10,5026,9,2012,2643,671,260460,503601,17892,521494
2018,광진구,229,2,3915,7,1769,1908,346,161755,355872,14941,370813
2018,구로구,250,9,4810,8,1717,2826,486,172052,406561,33044,439605
2018,금천구,200,7,3293,6,1168,1912,530,106846,233544,19574,253119
2018,노원구,194,5,4007,5,1422,2381,156,217804,547982,4069,552052
2018,도봉구,113,5,2249,1,781,1349,71,137756,341269,2174,343444
2018,동대문구,145,5,3680,2,1447,2081,197,161324,349204,15777,364982
2018,동작구,288,7,3100,3,1151,1651,255,175255,395214,12610,407825
2018,마포구,473,6,5172,6,2011,2676,195,171208,374654,10976,385630
2018,서대문구,206,3,2802,5,1062,1526,194,138014,311122,12305,323427
2018,서초구,470,5,4726,5,1851,2395,396,173830,438039,4174,442213
2018,성동구,126,5,2457,2,999,1325,294,136062,308017,8052,316069
2018,성북구,183,1,3042,7,1164,1687,643,186818,439099,11648,450748
2018,송파구,309,6,5807,5,2352,3135,396,268824,666312,6749,673061
2018,양천구,120,4,3515,2,1384,2005,830,176472,466669,3881,470550
2018,영등포구,391,8,5840,17,2292,3132,793,169835,368621,35331,403953
2018,용산구,331,3,3411,1,1096,1980,73,108691,229494,15714,245208
2018,은평구,188,1,3590,8,1278,2115,367,203982,484289,4413,488703
2018,종로구,236,3,3690,6,1483,1962,101,73741,153697,9809,163507
2018,중구,207,11,4030,2,1855,1955,328,61182,125913,9450,135364
2018,중랑구,174,3,4288,4,1526,2581,9,179961,404985,4778,409763
